[1.3819, 9.3941, -0.7112]
[1.4636, 9.3934, -0.7039]
[1.5451, 9.3819, -0.6966]
[1.6264, 9.3698, -0.6894]
[1.7078, 9.3669, -0.6821]
[1.4347, 1.9519, -0.7036]
[1.8673, 9.2992, -0.6679]
[1.9045, 8.6257, -0.6643]
[1.4835, 1.9189, -0.6992]
[1.8508, 6.1530, -0.6681]
[1.9024, 6.1283, -0.6635]
[1.9557, 6.1232, -0.6587]
[2.0090, 6.1176, -0.6540]
[2.0587, 6.0817, -0.6495]
[2.1166, 6.1149, -0.6444]
[2.1698, 6.1078, -0.6396]
[2.2229, 6.1003, -0.6349]
[1.7001, 2.3366, -0.6801]
[1.7157, 2.3037, -0.6787]
[1.7290, 2.2610, -0.6775]
[1.6317, 1.6080, -0.6859]
[1.6383, 1.5661, -0.6853]
[1.6519, 1.5634, -0.6841]
[1.6655, 1.5606, -0.6829]
[1.6538, 1.4405, -0.6839]
[1.6597, 1.4084, -0.6833]
[1.6766, 1.4250, -0.6818]
[1.7151, 1.5289, -0.6784]
[21.4241, 79.3844, 1.0495]
[22.1134, 79.2055, 1.1111]
[1.7340, 1.4414, -0.6767]
[23.4872, 78.8295, 1.2337]
[24.1716, 78.6325, 1.2949]
[1.7945, 1.5071, -0.6713]
[1.8077, 1.5031, -0.6702]
[1.8147, 1.4799, -0.6695]
[1.7964, 1.3807, -0.6711]
[1.8116, 1.3862, -0.6698]
[1.8467, 1.4481, -0.6667]
[1.8661, 1.4624, -0.6649]
[1.8788, 1.4578, -0.6638]
[1.9162, 1.5185, -0.6605]
[1.9872, 1.6625, -0.6542]
[1.9242, 1.4617, -0.6597]
[1.9369, 1.4565, -0.6586]
[1.9496, 1.4513, -0.6575]
[1.9662, 1.4551, -0.6560]
[1.9788, 1.4495, -0.6549]
[1.9955, 1.4530, -0.6534]
[2.0124, 1.4563, -0.6519]
[2.0336, 1.4684, -0.6500]
[2.0896, 1.5524, -0.6450]
[2.1163, 1.5727, -0.6426]
[2.1480, 1.6015, -0.6398]
[2.1665, 1.6033, -0.6382]
[2.1943, 1.6226, -0.6357]
[39.9577, 72.1490, 2.7056]
[2.1746, 1.5197, -0.6374]
[2.2414, 1.6083, -0.6315]
[2.2603, 1.6090, -0.6298]
[2.2843, 1.6182, -0.6277]
[2.3035, 1.6185, -0.6260]
[2.3124, 1.6014, -0.6252]
[2.3316, 1.6014, -0.6235]
[2.3402, 1.5842, -0.6227]
[6.0882, 7.4039, -0.2906]
[6.1251, 7.3202, -0.2873]
[6.2218, 7.3279, -0.2787]
[6.2965, 7.3014, -0.2720]
[6.4053, 7.3234, -0.2623]
[6.4918, 7.3114, -0.2546]
[6.6134, 7.3472, -0.2437]
[6.6771, 7.3007, -0.2380]
[6.7285, 7.2377, -0.2334]
[6.7792, 7.1743, -0.2289]
[6.7011, 6.9445, -0.2357]
[6.6935, 6.8109, -0.2364]
[6.6902, 6.6857, -0.2366]
[3.0804, 2.1315, -0.5569]
[3.0607, 2.0701, -0.5586]
